Short name,PR 1 (Player Type),PR 2,PR 3,PR 4, PR 5,Challenge goal 1,CG2,Difficulty,
Advise low skill user,Philantropist,High user skill,Low skill user in chat,,,Write in chat,Get upvote from low skill user,Low,
Chat helper,Philantropist,High unsolved tasks in other team,,,,Offer to help with other team task,Chat with the other team member,Low,
Doraemon,Philantropist,Questions are asked in chat (lines with ?),,,,Reply within 5 minutes of question,,Medium,
Doraemon++,Philantropist,Questions are asked in chat (lines with ?),,,,Reply within 5 minutes of question,Your comment gets a /like,High,
Fast helper,Philantropist,New task,High unsolved tasks in other teams,,,Offer help to other team under N minutes,Task is solved,Medium,
Get help,Philantropist,Old task,Other team: High task archive,,,Get other team member to help,Task is solved,Medium,
Master student,Philantropist,High Old tasks,,,,Get other team member to offer help for High number questions,Tasks is solved,Low,
Mutual help,Philantropist,Low activity,Low activity in other team,,,Help other team with task,Get the other team to help with your task,Low,
Offer help,Philantropist,High solved tasks,High unsolved tasks in other teams,,,Offer help to other team,Task is solved,Low,
Publish solution,Philantropist,Unsolved owned tasks,,,,Write to chat,2. Solve the problem without help 3. Write to chat again,Medium,
Solver,Philantropist,Unsolved tasks, own,,,,Solve one own team task,,Low,
Wikiperson,Philantropist,New tasks in teams,,,,Paste wikilinks within 10 minutes of new tasks,,Medium,
Socialize-act,Socializer,Low task activity,High other team activity,,,Check all other team pages,Create new own task,Low,
Offer help,Socializer,High solved tasks,High unsolved tasks in other teams,,,Offer help to other team,Task is solved,Low,
Get help,Socializer,Old task,Other team: High solved tasks,,,Get other team member to offer help,Task is solved,Low,
Fast helper,Socializer,New task,High unsolved tasks in other teams,,,Offer help to other team under N minutes,Task is solved,Medium,
Mutual help,Socializer,Low activity,Low activity in other team,,,Help other team with task,Get the other team to help with your task,Low,
Get discussion started,Socializer,Low chat activity,,,,Write something in chat,Get upvote by other team,Low,
Involve all in discussion,Socializer,Low chat activity,,,,Write something in chat,Have all teams write,Low,
Get all from other team to help,Socializer,High unsolved tasks,,,,Get all members from other team to help,,Low,
Advise low skill user,Socializer,High user skill,Low skill user in chat,,,Write in chat,Get upvote from low skill user,Low,
Get advice from high skill user,Socializer,Low user skill,High user skill,,,Write in chat,Get answer from high skill user + upvote this answer,Medium,
Master student,Socializer,High Old tasks,,,,Get other team member to offer help for High number questions,Tasks is solved,Low,
Conversationalist,Socializer,Low chat activity,,,,Carry out chat activity for at least 15 minutes,Other person must be involved,Low,
Master reader,Socializer,Low team activity,High overall tasks,,,Read all the tasks in all the teams,,Low,
Chat helper,Socializer,High unsolved tasks in other team,,,,Offer to help with other team task,Chat with the other team member,Low,
Remind for help,Socializer,Own old task,,,,Link the task to chat,Get reply in chat,Low,
Publish solution,Socializer,Unsolved owned tasks,,,,Write to chat,2. Solve the problem without help 3. Write to chat again,Medium,
Tactical Team-Up,Socializer,Own team has cooperated with other team,Other team is not on top,,,Work with other team to raise them up to second position,,High,
Sidekick,Socializer,Low points,Has cooperated with other team,,,Help other team to become highest ranked in your own team,,Medium,
Status Check,Socializer,High team activity,,,,Read all your team member's tasks,,Low,
Bob the Builder,Socializer,,,,,Report a bug to chat,System admin likes the comment,High,
Socialize-act,Free Spirit,Low task activity,High other team activity,,,Check all other team pages,Create new own task,Low,
Point Out,Free Spirit,Other teams have old unsolved tasks,,,,Paste this task to chat,,Low,
Neil Armstrong,Free Spirit,,,,,See the hidden pages,,High,
Master reader,Free Spirit,Low team activity,High overall tasks,,,Read all the tasks in all the teams,,Low,
Discovery,Free Spirit,Low chat activity,,,,Paste a web link to chat,Have the link liked,Low,
Publish solution,Free Spirit,Unsolved owned tasks,,,,Write to chat,2. Solve the problem without help 3. Write to chat again,Medium,
Master explorer,Free Spirit,,,,,Look each page available in the framework,,High,
Socialize-talk,Free Spirit,Low task activity,High other team activity,,,Check all other team pages,Paste any team page to chat,Low,
Deeper-Socialize-talk,Free Spirit,Low task activity,High other team activity,,,Check all other team members,Paste a member or task page to chat,Medium,
Bob the Builder,Free Spirit,,,,,Report a bug to chat,System admin likes the comment,High,
Doraemon,Free Spirit,Questions are asked in chat (lines with ?),,,,Reply within 5 minutes of question,,Medium,
Wikiperson,Free Spirit,New tasks in teams,,,,Paste wikilinks within 10 minutes of new tasks,,Medium,
Read the Fine Manual,Free Spirit,,,,,Read the FAQ,2. Paste FAQ in chat 3. Get liked,High,
Status Check,Free Spirit,High team activity,,,,Read all your team member's tasks,,Low,
Completionist,Free Spirit,,,,,Fill all fields in profile page,,Low,
"Star Trek, ""Go Where No Man Has Gone Before""",Free Spirit,,,,,Visit a page that has not been visited before,,Medium,
Offer help,Free Spirit,High solved tasks,High unsolved tasks in other teams,,,Offer help to other team,Task is solved,Low,
Night owl,Free Spirit,,,,,Complete a task / submit an assignment at 3:30 am.,,Medium,
Create a task,Free Spirit,Low solved task,,,,Task created,,Low,
Meta-badge: Randomize x badges and assign the same set to all achievers,Achiever,,,,,,,,
Point hoarder,Achiever,Team points are close to each other,Player team is not on top,,,Raise your team to the top of the scoreboard,,High,
Tactical Team-Up,Achiever,Own team has cooperated with other team,Other team is not on top,,,Work with other team to raise them up to second position,,High,
Sidekick,Achiever,Low points,Has cooperated with other team,,,Help other team to become highest ranked in your own team,,Medium,
Ultimate Achiever,Achiever,,,,,Complete all the metabadges first,,High,
Offer help,Achiever,High solved tasks,High unsolved tasks in other teams,,,Offer help to other team,Task is solved,Low,
You Know It,Achiever,Questions are asked in chat (lines with ?),,,,Reply within 5 minutes of question,,Medium,
You Know It All,Achiever,Questions are asked in chat (lines with ?),,,,Reply within 5 minutes of question,Your comment gets a /like,High,
Meta-badge: Randomize x badges and assign the same set to all achievers,Player,,,,,,,,
Sidekick,Player,Low points,Has cooperated with other team,,,Help other team to become highest ranked in your own team,,Medium,
Tactical Team-Up,Player,Own team has cooperated with other team,Other team is not on top,,,Work with other team to raise them up to second position,,High,
Up to Date,Player,Own team not on top,,,,Check the scoreboard x10,,Medium,
Updator, the Master of Updates,Player,Own team not on top,,,,Check the scoreboard x100,,Medium,
Fast helper,Player,New task,High unsolved tasks in other teams,,,Offer help to other team under N minutes,Task is solved,Medium,
Doraemon,Player,Questions are asked in chat (lines with ?),,,,Reply within 5 minutes of question,,Medium,
Doraemon++,Player,Questions are asked in chat (lines with ?),,,,Reply within 5 minutes of question,Your comment gets a /like,High,
Master student,Player,High Old tasks,,,,Get other team member to offer help for High number questions,Tasks is solved,Low,
Mutual help,Player,Low activity,Low activity in other team,,,Help other team with task,Get the other team to help with your task,Low,
Offer help,Player,High solved tasks,High unsolved tasks in other teams,,,Offer help to other team,Task is solved,Low,
Publish solution,Player,Unsolved owned tasks,,,,Write to chat,2. Solve the problem without help 3. Write to chat again,Medium,
