Hexad;Difficulty;Userskill;Otherskill;Ownteam opentasks;Ownteam task age;Otherteam opentasks;Otherteam task age;Otherinchat;Chatactivity;Ownteamactivity;Otherteamactivity;Questionsinchat;Pointdifference;Ownpoints;Otherteampoints;Hashelped;Short name;PR 2;PR 3;CG1;CG2;Special Notes
Philantropist;Low;high;low;;;;;TRUE;;;;;;;;;Advise low skill user;High user skill;Low skill user in chat;Write in chat;Get upvote from low skill user;
Socializer;Low;high;low;;;;;TRUE;;;;;;;;;Advise low skill user;High user skill;Low skill user in chat;Write in chat;Get upvote from low skill user;
Free Spirit;High;;;;;;;;;;;;;;;;Bob the Builder;;;Report a bug to chat;System admin likes the comment;
Socializer;High;;;;;;;;;;;;;;;;Bob the Builder;;;Report a bug to chat;System admin likes the comment;
Philantropist;Low;;;;;high;;;;;;;;;;;Chat helper;High unsolved tasks in other team;;Offer to help with other team task;Chat with the other team member;
Socializer;Low;;;;;high;;;;;;;;;;;Chat helper;High unsolved tasks in other team;;Offer to help with other team task;Chat with the other team member;
Free Spirit;Low;;;;;;;;;;;;;;;;Completionist;;;Fill all fields in profile page;;
Socializer;Low;;;;;;;;low;;;;;;;;Conversationalist;Low chat activity;;Carry out chat activity for at least 15 minutes;Other person must be involved;
Free Spirit;Low;;;;;;;;low;;;;;;;;Create a task;Low solved task;;Task created;;
Free Spirit;Medium;;;;;;;;;low;;;;;;;Deeper-Socialize-talk;Low task activity;High other team activity;Check all other team members;Paste a member or task page to chat;
Free Spirit;Low;;;;;;;;low;;;;;;;;Discovery;Low chat activity;;Paste a web link to chat;Have the link liked;
Free Spirit;Medium;;;;;;;;;;;TRUE;;;;;Doraemon;Questions are asked in chat (lines with ?);;Reply within 5 minutes of question;;
Philantropist;Medium;;;;;;;;;;;TRUE;;;;;Doraemon;Questions are asked in chat (lines with ?);;Reply within 5 minutes of question;;
Player;Medium;;;;;;;;;;;TRUE;;;;;Doraemon;Questions are asked in chat (lines with ?);;Reply within 5 minutes of question;;Note: Encourage intrinsic motivation
Philantropist;High;;;;;;;;;;;TRUE;;;;;Doraemon++;Questions are asked in chat (lines with ?);;Reply within 5 minutes of question;Your comment gets a /like;
Player;High;;;;;;;;;;;TRUE;;;;;Doraemon++;Questions are asked in chat (lines with ?);;Reply within 5 minutes of question;Your comment gets a /like;Note: Encourage intrinsic motivation
Philantropist;Medium;;;;;high;;;;;;;;;;;Fast helper;New task;High unsolved tasks in other teams;Offer help to other team under N minutes;Task is solved;
Player;Medium;;;;;high;;;;;;;;;;;Fast helper;New task;High unsolved tasks in other teams;Offer help to other team under N minutes;Task is solved;Note: Encourage intrinsic motivation
Socializer;Medium;;;;;high;;;;;;;;;;;Fast helper;New task;High unsolved tasks in other teams;Offer help to other team under N minutes;Task is solved;
Socializer;Medium;low;high;;;;;;;;;;;;;;Get advice from high skill user;Low user skill;High user skill;Write in chat;Get answer from high skill user + upvote this answer;
Socializer;Low;;;high;;;;;;;;;;;;;Get all from other team to help;High unsolved tasks;;Get all members from other team to help;;
Socializer;Low;;;;;;;;low;;;;;;;;Get discussion started;Low chat activity;;Write something in chat;Get upvote by other team;
Philantropist;Medium;;;high;;low;;;;;;;;;;;Get help;Old task;Other team: High task archive;Get other team member to help;Task is solved;
Socializer;Low;;;high;;low;;;;;;;;;;;Get help;Old task;Other team: High solved tasks;Get other team member to offer help;Task is solved;
Socializer;Low;;;;;;;;low;;;;;;;;Involve all in discussion;Low chat activity;;Write something in chat;Have all teams write;
Free Spirit;High;;;;;;;;;;;;;;;;Master explorer;;;Look each page available in the framework;;
Free Spirit;Low;;;;;;;;;low;high;;;;;;Master reader;Low team activity;High overall tasks;Read all the tasks in all the teams;;
Socializer;Low;;;;;;;;;low;high;;;;;;Master reader;Low team activity;High overall tasks;Read all the tasks in all the teams;;
Philantropist;Low;;;;high;;;;;;;;;;;;Master student;High Old tasks;;Get other team member to offer help for High number questions;Tasks is solved;
Player;Low;;;;high;;;;;;;;;;;;Master student;High Old tasks;;Get other team member to offer help for High number questions;Tasks is solved;Note: Encourage intrinsic motivation
Socializer;Low;;;;high;;;;;;;;;;;;Master student;High Old tasks;;Get other team member to offer help for High number questions;Tasks is solved;
Philantropist;Low;;;;;;;;;low;low;;;;;;Mutual help;Low activity;Low activity in other team;Help other team with task;Get the other team to help with your task;
Player;Low;;;;;;;;;low;low;;;;;;Mutual help;Low activity;Low activity in other team;Help other team with task;Get the other team to help with your task;Note: Encourage intrinsic motivation
Socializer;Low;;;;;;;;;low;low;;;;;;Mutual help;Low activity;Low activity in other team;Help other team with task;Get the other team to help with your task;
Free Spirit;High;;;;;;;;;;;;;;;;Neil Armstrong;;;See the hidden pages;;
Free Spirit;Medium;;;;;;;;;;;;;;;;Night owl;;;Complete a task / submit an assignment at 3:30 am.;;
Achiever;Low;;;low;;high;;;;;;;;;;;Offer help;High solved tasks;High unsolved tasks in other teams;Offer help to other team;Task is solved;
Free Spirit;Low;;;low;;high;;;;;;;;;;;Offer help;High solved tasks;High unsolved tasks in other teams;Offer help to other team;Task is solved;
Philantropist;Low;;;low;;high;;;;;;;;;;;Offer help;High solved tasks;High unsolved tasks in other teams;Offer help to other team;Task is solved;
Player;Low;;;low;;high;;;;;;;;;;;Offer help;High solved tasks;High unsolved tasks in other teams;Offer help to other team;Task is solved;Note: Encourage intrinsic motivation
Socializer;Low;;;low;;high;;;;;;;;;;;Offer help;High solved tasks;High unsolved tasks in other teams;Offer help to other team;Task is solved;
Achiever;High;;;;;;;;;;;;low;;;;Point hoarder;Team points are close to each other;Player team is not on top;Raise your team to the top of the scoreboard;;Exclude from meta-badges
Free Spirit;Low;;;;;high;high;;;;;;;;;;Point Out;Other teams have old unsolved tasks;;Paste this task to chat;;
Free Spirit;Medium;;;high;;;;;;;;;;;;;Publish solution;Unsolved owned tasks;;Write to chat;2. Solve the problem without help 3. Write to chat again;
Philantropist;Medium;;;high;;;;;;;;;;;;;Publish solution;Unsolved owned tasks;;Write to chat;2. Solve the problem without help 3. Write to chat again;
Player;Medium;;;high;;;;;;;;;;;;;Publish solution;Unsolved owned tasks;;Write to chat;2. Solve the problem without help 3. Write to chat again;Note: Encourage intrinsic motivation
Socializer;Medium;;;high;;;;;;;;;;;;;Publish solution;Unsolved owned tasks;;Write to chat;2. Solve the problem without help 3. Write to chat again;
Free Spirit;High;;;;;;;;;;;;;;;;Read the Fine Manual;;;Read the FAQ;2. Paste FAQ in chat 3. Get liked;
Socializer;Low;;;high;high;;;;;;;;;;;;Remind for help;Own old task;;Link the task to chat;Get reply in chat;
Achiever;Medium;;;;;;;;;;;;;low;;TRUE;Sidekick;Low points;Has cooperated with other team;Help other team to become highest ranked in your own team;;Exclude from meta-badges
Player;Medium;;;;;;;;;;;;;low;;TRUE;Sidekick;Low points;Has cooperated with other team;Help other team to become highest ranked in your own team;;Exclude from meta-badges
Socializer;Medium;;;;;;;;;;;;;low;;TRUE;Sidekick;Low points;Has cooperated with other team;Help other team to become highest ranked in your own team;;
Free Spirit;Low;;;;;;;;;low;high;;;;;;Socialize-act;Low task activity;High other team activity;Check all other team pages;Create new own task;
Socializer;Low;;;;;;;;;low;high;;;;;;Socialize-act;Low task activity;High other team activity;Check all other team pages;Create new own task;
Free Spirit;Low;;;;;;;;;low;high;;;;;;Socialize-talk;Low task activity;High other team activity;Check all other team pages;Paste any team page to chat;
Philantropist;Low;;;low;;;;;;;;;;;;;Solver;Unsolved tasks, own;;Solve one own team task;;
Free Spirit;Medium;;;;;;;;;;;;;;;;"Star Trek; ""Go Where No Man Has Gone Before""";;;Visit a page that has not been visited before;;
Free Spirit;Low;;;;;;;;;high;;;;;;;Status Check;High team activity;;Read all your team member's tasks;;
Socializer;Low;;;;;;;;;high;;;;;;;Status Check;High team activity;;Read all your team member's tasks;;
Achiever;High;;;;;;;;;;;;;;low;TRUE;Tactical Team-Up;Own team has cooperated with other team;Other team is not on top;Work with other team to raise them up to second position;;Exclude from meta-badges
Player;High;;;;;;;;;;;;;;low;TRUE;Tactical Team-Up;Own team has cooperated with other team;Other team is not on top;Work with other team to raise them up to second position;;Exclude from meta-badges
Socializer;High;;;;;;;;;;;;;;low;TRUE;Tactical Team-Up;Own team has cooperated with other team;Other team is not on top;Work with other team to raise them up to second position;;
Achiever;High;;;;;;;;;;;;;;;;Ultimate Achiever;;;Complete all the metabadges first;;Exclude from meta-badges
Player;Medium;;;;;;;;;;;;;low;;;Up to Date;Own team not on top;;Check the scoreboard x10;;Note: Encourage intrinsic motivation
Player;Medium;;;;;;;;;;;;;low;;;Updator, the Master of Updates;Own team not on top;;Check the scoreboard x100;;Note: Encourage intrinsic motivation
Free Spirit;Medium;;;;low;;;;;;;;;;;;Wikiperson;New tasks in teams;;Paste wikilinks within 10 minutes of new tasks;;
Philantropist;Medium;;;;low;;;;;;;;;;;;Wikiperson;New tasks in teams;;Paste wikilinks within 10 minutes of new tasks;;
Achiever;Medium;;;;;;;;;;;TRUE;;;;;You Know It;Questions are asked in chat (lines with ?);;Reply within 5 minutes of question;;
Achiever;High;;;;;;;;;;;TRUE;;;;;You Know It All;Questions are asked in chat (lines with ?);;Reply within 5 minutes of question;Your comment gets a /like;
