Hexad;Difficulty;Userskill;Otherskill;Ownteam opentasks;Ownteam task age;Otherteam opentasks;Otherteam task age;Otherinchat;Chatactivity;Ownteamactivity;Otherteamactivity;Questionsinchat;Pointdifference;Ownpoints;Otherteampoints;Hashelped;Challenge_class
Philantropist;Low;high;low;;;;;TRUE;;;;;;;;;1
Socializer;Low;high;low;;;;;TRUE;;;;;;;;;1
Free Spirit;High;;;;;;;;;;;;;;;;2
Socializer;High;;;;;;;;;;;;;;;;2
Philantropist;Low;;;;;high;;;;;;;;;;;3
Socializer;Low;;;;;high;;;;;;;;;;;3
Free Spirit;Low;;;;;;;;;;;;;;;;4
Socializer;Low;;;;;;;;low;;;;;;;;5
Free Spirit;Low;;;;;;;;low;;;;;;;;6
Free Spirit;Medium;;;;;;;;;low;;;;;;;7
Free Spirit;Low;;;;;;;;low;;;;;;;;8
Free Spirit;Medium;;;;;;;;;;;TRUE;;;;;9
Philantropist;Medium;;;;;;;;;;;TRUE;;;;;9
Player;Medium;;;;;;;;;;;TRUE;;;;;9
Philantropist;High;;;;;;;;;;;TRUE;;;;;10
Player;High;;;;;;;;;;;TRUE;;;;;10
Philantropist;Medium;;;;;high;;;;;;;;;;;11
Player;Medium;;;;;high;;;;;;;;;;;11
Socializer;Medium;;;;;high;;;;;;;;;;;11
Socializer;Medium;low;high;;;;;;;;;;;;;;12
Socializer;Low;;;high;;;;;;;;;;;;;13
Socializer;Low;;;;;;;;low;;;;;;;;14
Philantropist;Medium;;;high;;low;;;;;;;;;;;15
Socializer;Low;;;high;;low;;;;;;;;;;;15
Socializer;Low;;;;;;;;low;;;;;;;;16
Free Spirit;High;;;;;;;;;;;;;;;;17
Free Spirit;Low;;;;;;;;;low;high;;;;;;18
Socializer;Low;;;;;;;;;low;high;;;;;;18
Philantropist;Low;;;;high;;;;;;;;;;;;19
Player;Low;;;;high;;;;;;;;;;;;19
Socializer;Low;;;;high;;;;;;;;;;;;19
Philantropist;Low;;;;;;;;;low;low;;;;;;20
Player;Low;;;;;;;;;low;low;;;;;;20
Socializer;Low;;;;;;;;;low;low;;;;;;20
Free Spirit;High;;;;;;;;;;;;;;;;21
Free Spirit;Medium;;;;;;;;;;;;;;;;22
Achiever;Low;;;low;;high;;;;;;;;;;;23
Free Spirit;Low;;;low;;high;;;;;;;;;;;24
Philantropist;Low;;;low;;high;;;;;;;;;;;24
Player;Low;;;low;;high;;;;;;;;;;;24
Socializer;Low;;;low;;high;;;;;;;;;;;24
Achiever;High;;;;;;;;;;;;low;;;;25
Free Spirit;Low;;;;;high;high;;;;;;;;;;26
Free Spirit;Medium;;;high;;;;;;;;;;;;;27
Philantropist;Medium;;;high;;;;;;;;;;;;;27
Player;Medium;;;high;;;;;;;;;;;;;27
Socializer;Medium;;;high;;;;;;;;;;;;;27
Free Spirit;High;;;;;;;;;;;;;;;;28
Socializer;Low;;;high;high;;;;;;;;;;;;29
Achiever;Medium;;;;;;;;;;;;;low;;TRUE;30
Player;Medium;;;;;;;;;;;;;low;;TRUE;30
Socializer;Medium;;;;;;;;;;;;;low;;TRUE;30
Free Spirit;Low;;;;;;;;;low;high;;;;;;31
Socializer;Low;;;;;;;;;low;high;;;;;;31
Free Spirit;Low;;;;;;;;;low;high;;;;;;32
Philantropist;Low;;;low;;;;;;;;;;;;;33
Free Spirit;Medium;;;;;;;;;;;;;;;;34
Free Spirit;Low;;;;;;;;;high;;;;;;;35
Socializer;Low;;;;;;;;;high;;;;;;;35
Achiever;High;;;;;;;;;;;;;;low;TRUE;36
Player;High;;;;;;;;;;;;;;low;TRUE;36
Socializer;High;;;;;;;;;;;;;;low;TRUE;36
Achiever;High;;;;;;;;;;;;;;;;37
Player;Medium;;;;;;;;;;;;;low;;;38
Player;Medium;;;;;;;;;;;;;low;;;39
Free Spirit;Medium;;;;low;;;;;;;;;;;;40
Philantropist;Medium;;;;low;;;;;;;;;;;;40
Achiever;Medium;;;;;;;;;;;TRUE;;;;;41
Achiever;High;;;;;;;;;;;TRUE;;;;;42
